time,value
05:51:48,76
05:51:53,77
05:51:58,78
05:52:03,79
05:52:08,78
05:52:18,77
05:52:23,76
05:52:28,75
05:52:43,75
05:52:48,78
05:52:53,79
05:52:58,76
05:53:03,75
05:53:08,76
05:53:13,77
05:53:18,78
05:53:23,79
05:53:38,79
05:53:53,77
05:53:58,78
05:54:03,79
05:54:13,80
05:54:18,78
05:54:23,77
05:54:28,78
05:54:33,79
05:54:48,81
05:54:53,82
05:55:03,81
05:55:13,80
05:55:28,81
05:55:38,79
05:55:43,74
05:55:48,72
05:55:53,73
05:56:03,74
05:56:18,74
05:56:28,76
05:56:33,78
05:56:38,76
05:56:43,76
05:56:48,74
05:56:53,73
05:57:03,74
05:57:08,77
05:57:13,78
05:57:18,80
05:57:23,81
05:57:38,82
05:57:48,83
05:57:58,78
05:58:03,77
05:58:08,78
05:58:13,79
05:58:23,80
05:58:28,81
05:58:33,81
05:58:38,80
05:58:43,78
05:58:48,76
05:58:53,75
05:59:03,76
05:59:13,77
05:59:18,78
05:59:23,79
05:59:28,81
05:59:38,80
05:59:43,79
05:59:48,78
05:59:53,78
06:00:03,80
06:00:08,78
06:00:13,73
06:00:18,72
06:00:23,69
06:00:28,67
06:00:43,68
06:00:48,70
06:00:53,71
06:00:58,74
06:01:03,79
06:01:08,77
06:01:13,74
06:01:18,75
06:01:28,76
06:01:38,77
06:01:53,77
06:01:58,79
06:02:03,80
06:02:08,78
06:02:13,74
06:02:18,72
06:02:28,74
06:02:33,77
06:02:38,78
06:02:43,80
06:02:48,81
06:02:58,82
06:03:03,85
06:03:08,89
06:03:13,80
06:03:18,73
06:03:23,69
06:03:38,69
06:03:43,71
06:03:53,70
06:04:03,71
06:04:08,74
06:04:13,77
06:04:23,75
06:04:33,77
06:04:38,79
06:04:43,80
06:04:48,82
06:04:53,83
06:04:58,80
06:05:08,79
06:05:13,78
06:05:18,77
06:05:33,78
06:05:38,79
06:05:43,78
06:05:48,72
06:05:53,68
06:05:58,69
06:06:03,71
06:06:08,73
06:06:13,74
06:06:18,75
06:06:23,76
06:06:28,77
06:06:33,78
06:06:38,79
06:06:43,78
06:06:48,77
06:06:58,76
06:07:08,77
06:07:13,79
06:07:18,80
06:07:28,84
06:07:38,83
06:07:43,77
06:07:48,78
06:07:53,77
06:07:58,75
06:08:03,73
06:08:08,72
06:08:13,73
06:08:18,75
06:08:23,76
06:08:28,74
06:08:33,75
06:08:38,73
06:08:43,70
06:08:53,71
06:08:58,74
06:09:03,76
06:09:08,71
06:09:13,69
06:09:18,71
06:09:23,74
06:09:28,77
06:09:43,77
06:09:58,77
06:10:03,76
06:10:08,77
06:10:13,75
06:10:18,74
06:10:28,75
06:10:33,76
06:10:38,77
06:10:43,78
06:10:48,77
06:10:58,78
06:11:08,79
06:11:13,77
06:11:18,77
06:11:23,78
06:11:38,78
06:11:53,76
06:11:58,75
06:12:03,76
06:12:08,79
06:12:13,79
06:12:18,74
06:12:23,72
06:12:28,73
06:12:33,75
06:12:38,76
06:12:53,77
06:12:58,78
06:13:03,76
06:13:08,75
06:13:23,76
06:13:33,77
06:13:38,78
06:13:53,79
06:13:58,78
06:14:03,75
06:14:08,73
06:14:13,72
06:14:23,74
06:14:28,75
06:14:33,76
06:14:38,76
06:14:48,81
06:14:53,80
06:14:58,77
06:15:03,75
06:15:08,71
06:15:13,70
06:15:28,71
06:15:33,72
06:15:38,73
06:15:48,76
06:15:53,77
06:16:03,76
06:16:08,75
06:16:13,77
06:16:23,78
06:16:33,79
06:16:43,76
06:16:48,74
06:17:03,76
06:17:08,77
06:17:13,78
06:17:18,77
06:17:33,78
06:17:38,80
06:17:43,81
06:17:48,81
06:17:58,80
06:18:03,72
06:18:08,69
06:18:23,68
06:18:33,69
06:18:48,70
06:18:58,71
06:19:03,72
06:19:18,73
06:19:23,74
06:19:33,73
06:19:48,74
06:19:53,73
06:19:58,72
06:20:13,72
06:20:23,73
06:20:38,74
06:20:43,76
06:20:48,75
06:20:53,74
06:20:58,71
06:21:03,69
06:21:08,68
06:21:18,69
06:21:23,70
06:21:28,71
06:21:33,72
06:21:38,73
06:21:53,72
06:21:58,71
06:22:13,71
06:22:18,73
06:22:33,74
06:22:48,76
06:22:53,75
06:22:58,74
06:23:03,73
06:23:13,74
06:23:23,76
06:23:28,74
06:23:33,73
06:23:43,76
06:23:48,77
06:23:58,76
06:24:03,74
06:24:18,74
06:24:23,73
06:24:38,74
06:24:43,73
06:24:53,74
06:24:58,73
06:25:08,74
06:25:23,75
06:25:28,74
06:25:43,73
06:25:58,75
06:26:08,74
06:26:13,73
06:26:23,74
06:26:33,75
06:26:43,76
06:26:48,75
06:26:53,74
06:27:03,73
06:27:18,74
06:27:28,73
06:27:43,73
06:27:48,74
06:27:53,75
06:27:58,74
06:28:08,73
06:28:23,73
06:28:28,72
06:28:33,73
06:28:48,73
06:28:53,72
06:29:03,73
06:29:08,72
06:29:13,73
06:29:23,74
06:29:28,75
06:29:33,74
06:29:38,75
06:29:43,73
06:29:53,74
06:29:58,75
06:30:03,74
06:30:08,73
06:30:13,72
06:30:28,72
06:30:33,73
06:30:43,72
06:30:53,74
06:30:58,75
06:31:08,74
06:31:13,73
06:31:23,74
06:31:28,73
06:31:38,72
06:31:48,71
06:31:53,72
06:32:08,75
06:32:13,74
06:32:18,70
06:32:23,69
06:32:33,70
06:32:38,71
06:32:43,73
06:32:48,72
06:32:53,73
06:32:58,72
06:33:03,69
06:33:08,67
06:33:23,67
06:33:33,68
06:33:38,70
06:33:48,68
06:34:03,69
06:34:08,70
06:34:13,71
06:34:18,72
06:34:23,73
06:34:38,73
06:34:43,72
06:34:48,70
06:35:03,70
06:35:08,71
06:35:18,70
06:35:28,71
06:35:43,72
06:35:48,73
06:35:53,75
06:36:03,73
06:36:13,72
06:36:18,72
06:36:28,73
06:36:33,75
06:36:38,74
06:36:43,73
06:36:48,72
06:36:53,71
06:37:03,72
06:37:08,73
06:37:18,71
06:37:33,73
06:37:38,74
06:37:43,73
06:37:48,72
06:38:03,73
06:38:08,74
06:38:13,73
06:38:28,74
06:38:33,75
06:38:38,74
06:38:43,73
06:38:58,73
06:39:08,72
06:39:18,73
06:39:23,74
06:39:28,75
06:39:43,75
06:39:48,74
06:39:53,73
06:40:03,71
06:40:13,72
06:40:18,73
06:40:23,74
06:40:28,75
06:40:33,76
06:40:38,77
06:40:43,76
06:40:48,74
06:40:58,73
06:41:03,72
06:41:18,72
06:41:23,73
06:41:33,74
06:41:38,73
06:41:43,72
06:41:58,71
06:42:03,72
06:42:18,72
06:42:23,73
06:42:38,73
06:42:48,72
06:42:53,71
06:43:03,72
06:43:18,72
06:43:23,72
06:43:33,71
06:43:43,72
06:43:53,73
06:43:58,72
06:44:13,72
06:44:18,73
06:44:28,72
06:44:43,72
06:44:48,73
06:44:58,72
06:45:03,71
06:45:18,71
06:45:23,73
06:45:28,74
06:45:33,73
06:45:48,73
06:45:58,72
06:46:13,72
06:46:18,71
06:46:23,73
06:46:28,74
06:46:33,74
06:46:43,73
06:46:48,71
06:46:53,70
06:47:03,71
06:47:08,72
06:47:13,73
06:47:28,73
06:47:33,74
06:47:43,73
06:47:48,72
06:47:53,71
06:48:08,71
06:48:18,72
06:48:33,72
06:48:38,71
06:48:43,70
06:48:53,71
06:49:03,70
06:49:18,68
06:49:33,68
06:49:38,69
06:49:43,70
06:49:48,71
06:49:58,69
06:50:03,68
06:50:08,70
06:50:13,72
06:50:18,73
06:50:23,72
06:50:38,73
06:50:43,72
06:50:48,71
06:51:03,70
06:51:13,71
06:51:18,72
06:51:23,73
06:51:28,72
06:51:33,71
06:51:38,72
06:51:43,71
06:51:48,69
06:51:58,70
06:52:03,71
06:52:08,72
06:52:23,71
06:52:38,71
06:52:43,72
06:52:58,72
06:53:13,72
06:53:18,73
06:53:23,74
06:53:28,73
06:53:33,72
06:53:48,72
06:53:53,71
06:54:03,72
06:54:08,74
06:54:23,73
06:54:28,72
06:54:38,73
06:54:53,73
06:55:03,72
06:55:18,72
06:55:28,73
06:55:33,72
06:55:43,73
06:55:48,74
06:55:58,73
06:56:03,72
06:56:13,71
06:56:23,72
06:56:38,72
06:56:48,71
06:56:58,72
06:57:13,72
06:57:18,73
06:57:33,74
06:57:38,73
06:57:48,72
06:57:53,70
06:57:58,71
06:58:03,70
06:58:18,71
06:58:23,72
06:58:38,72
06:58:43,71
06:58:48,70
06:58:53,71
06:59:03,72
06:59:08,73
06:59:13,74
06:59:18,73
06:59:23,71
06:59:28,70
06:59:38,71
06:59:53,72
06:59:58,74
07:00:08,73
07:00:23,74
07:00:38,73
07:00:43,72
07:00:53,73
07:00:58,75
07:01:03,74
07:01:08,73
07:01:18,72
07:01:33,71
07:01:48,71
07:01:53,72
07:02:08,72
07:02:13,73
07:02:18,72
07:02:23,73
07:02:28,72
07:02:38,73
07:02:43,74
07:02:58,73
07:03:13,74
07:03:18,73
07:03:33,73
07:03:48,72
07:03:53,71
07:04:08,71
07:04:23,73
07:04:28,75
07:04:38,76
07:04:43,74
07:04:48,73
07:04:53,73
07:05:08,74
07:05:18,77
07:05:23,94
07:05:28,96
07:05:33,89
07:05:38,82
07:05:43,80
07:05:48,79
07:05:53,78
07:05:58,74
07:06:03,69
07:06:08,66
07:06:13,67
07:06:18,72
07:06:23,74
07:06:28,71
